word,synonyms
দুঃখ38,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি38,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত38,"দৃঢ়, কঠিন, মজবুত"
দুর্বল38,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর38,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়38,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম39,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত39,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস39,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ39,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ39,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি39,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত39,"দৃঢ়, কঠিন, মজবুত"
দুর্বল39,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর39,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়39,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম40,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত40,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস40,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ40,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ40,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি40,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত40,"দৃঢ়, কঠিন, মজবুত"
দুর্বল40,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর40,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়40,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম41,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত41,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস41,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ41,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ41,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি41,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত41,"দৃঢ়, কঠিন, মজবুত"
দুর্বল41,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর41,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়41,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম42,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত42,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস42,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ42,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ42,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি42,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত42,"দৃঢ়, কঠিন, মজবুত"
দুর্বল42,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর42,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়42,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম43,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত43,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস43,"বীরত্ব, ধৈর্য, দৃঢ়তা"
