query,doc_url,language,relevant,annotator,title,notes
মেট্রোরেল ঢাকা,https://www.dhakapost.com/law-courts/376076,bn,0,Rihila,"ঢাকা বারের সাবেক ১১ নেতার নামে ৩ মামলা, গ্রেপ্তারে পরোয়ানা জারি",Source: BM25
dengue outbreak,https://www.tbsnews.net/bangladesh/woman-dies-dengue-kushtia,en,1,Rihila,Woman dies of dengue in Kushtia,Source: BM25
dengue outbreak,https://www.tbsnews.net/bangladesh/2-more-women-die-dengue-jashore,en,1,Rihila,2 more women die of dengue in Jashore,Source: BM25
dengue outbreak,https://www.dhakatribune.com/bangladesh/health/399032/one-dengue-patient-die-240-hospitalized-in-24,en,1,Rihila,"Dengue: One dies, 240 hospitalized in 24 hours",Source: BM25
dengue outbreak,https://bssnews.net/news/304158/Health-officials-report-173-fresh-cases-of-dengue-inflection-overnight,en,1,Rihila,Health officials report 173 fresh cases of dengue inflection overnight | News,Source: BM25
dengue outbreak,"https://bssnews.net/news/304737/Health-officials-report-1-death,-430-fresh-cases-of-dengue-inflection-overnight",en,1,Rihila,"Health officials report 1 death, 430 fresh cases of dengue inflection overnight | News",Source: BM25
dengue outbreak,"https://bssnews.net/others/303890/Health-officials-report-5-deaths,-311-fresh-cases-of-dengue-inflection-overnight",en,1,Rihila,"Health officials report 5 deaths, 311 fresh cases of dengue inflection overnight | Others",Source: BM25
dengue outbreak,https://www.tbsnews.net/bangladesh/schoolgirl-dies-dengue-pabna,en,1,Rihila,Schoolgirl dies of dengue in Pabna,Source: BM25
dengue outbreak,https://www.tbsnews.net/bangladesh/820-hospitalized-dengue-24hrs,en,1,Rihila,820 hospitalized for dengue in 24hrs,Source: BM25
dengue outbreak,"https://bssnews.net/news/304415/4-die,-247-new-dengue-cases-reported-in-24-hours",en,1,Rihila,"4 die, 247 new dengue cases reported in 24 hours | News",Source: BM25
dengue outbreak,https://www.newagebd.net/post/country/278423/three-more-dengue-patients-die-across-bangladesh-in-24-hours,en,1,Rihila,Three more dengue patients die across Bangladesh in 24 hours,Source: BM25
ডেঙ্গু প্রকোপ,https://www.dhakapost.com/education/206066,bn,1,Rihila,"রোববার খুলছে শিক্ষাপ্রতিষ্ঠান, উদ্বেগের কারণ ডেঙ্গু ও বন্যা",Source: BM25
ডেঙ্গু প্রকোপ,https://www.prothomalo.com/bangladesh/district/b9np6snub8,bn,1,Rihila,শহরের মানুষই ডেঙ্গু-চিকুনগুনিয়ায় বেশি আক্রান্ত,Source: BM25
ডেঙ্গু প্রকোপ,https://www.banglanews24.com/health/news/bd/1601513.details,bn,1,Rihila,ডেঙ্গুতে আক্রান্ত হয়ে হাসপাতালে ভর্তি ৫১৪,Source: BM25
ডেঙ্গু প্রকোপ,https://www.prothomalo.com/bangladesh/capital/tmbjx1jimf,bn,1,Rihila,"ডেঙ্গুতে আজও মৃত্যু নেই, হাসপাতালে ভর্তি ১৭৭",Source: BM25
ডেঙ্গু প্রকোপ,https://www.dhakapost.com/education/61018,bn,1,Rihila,শিক্ষার্থীদের হোস্টেল চালুর ক্ষেত্রে মাউশির ১৪ নির্দেশনা,Source: BM25
ডেঙ্গু প্রকোপ,https://www.prothomalo.com/bangladesh/ht8ajay0qg,bn,1,Rihila,"চলতি বছর ডেঙ্গুতে ৫৪ শিশুর মৃত্যু, 
আক্রান্ত ১৫ হাজার ",Source: BM25
ডেঙ্গু প্রকোপ,https://www.prothomalo.com/bangladesh/district/qxammxkjds,bn,0,Rihila,"দেশের সর্বনিম্ন তাপমাত্রা কুড়িগ্রামে, কুয়াশায় শীতের প্রকোপ",Source: BM25
ডেঙ্গু প্রকোপ,https://www.jugantor.com/national/1044189,bn,1,Rihila,"ডেঙ্গুতে আক্রান্ত হয়ে হাসপাতালে ভর্তি ১২৬, মৃত্যু নেই",Source: BM25
ডেঙ্গু প্রকোপ,https://www.jugantor.com/country-news/1044559,bn,0,Rihila,মৌসুমের সর্বনিম্ন ১০ ডিগ্রিতে নামল চুয়াডাঙ্গার তাপমাত্রা,Source: BM25
ডেঙ্গু প্রকোপ,https://www.jugantor.com/national/1044287,bn,0,Rihila,বড়দিনে বৃষ্টি হবে কি?,Source: BM25
national election 2024,https://www.newagebd.net/post/country/283101/bangladesh-ec-suspends-nid-service-for-electoral-roll-preparations,en,1,Rihila,Bangladesh EC suspends NID service for electoral roll preparations,Source: BM25
national election 2024,https://www.dhakatribune.com/bangladesh/398766/no-uncertainty-over-national-election-reaffirms,en,1,Rihila,"No uncertainty over national election, reaffirms CEC",Source: BM25
national election 2024,https://www.dhakatribune.com/bangladesh/dhaka/397922/ncp-receives-registration-certificate-from-ec,en,1,Rihila,NCP receives registration certificate from EC,Source: BM25
national election 2024,https://www.dhakatribune.com/bangladesh/398415/asif-mahmud-mahfuj-alam-resign-from-interim-govt,en,1,Rihila,Asif Mahmud, Mahfuj Alam resign from interim govt,Source: BM25
national election 2024,https://www.dhakatribune.com/bangladesh/election/398339/ec-anwarul-advisers-can%E2%80%99t-contest-election-while,en,1,Rihila,EC Anwarul: Advisers can’t contest election while holding office,Source: BM25
national election 2024,https://www.newagebd.net/post/elections/285435/jatiya-party-to-join-election-if-level-playing-field-ensured,en,1,Rihila,Jatiya Party to join election if level playing field ensured,Source: BM25
national election 2024,https://www.dhakatribune.com/opinion/op-ed/398799/election-2026-should-be-about-jobs,en,1,Rihila,Election 2026 should be about jobs,Source: BM25
national election 2024,https://www.newagebd.net/post/country/282939/ec-asked-to-hold-js-polls-referendum-same-day,en,1,Rihila,EC asked to hold JS polls, referendum same day,Source: BM25
national election 2024,https://www.dhakatribune.com/bangladesh/398801/tarique-rahman-said-he-would-stand-with-the-people,en,1,Rihila,"Tarique Rahman vows to stand with people in Feb election, pledges BNP support for democratic victory",Source: BM25
national election 2024,https://www.dhakatribune.com/world/north-america/398877/trump-sues-bbc-for-10-billion-over-documentary,en,0,Rihila,Trump sues BBC for $10 billion over documentary speech edit,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.prothomalo.com/politics/bgudd-aay-khaaledaa-taareker-mnony-nptr-sngrh,bn,1,Rihila,বগুড়ায় খালেদা-তারেকের মনোনয়নপত্র সংগ্রহ,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.prothomalo.com/politics/shktt9grf9,bn,1,Rihila, প্রবাসী ভোটাররা ১৮ ডিসেম্বর পর্যন্ত নিবন্ধন করতে পারবেন,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.prothomalo.com/bangladesh/district/96vpx5k7ha,bn,1,Rihila,ফেনী-১ আসনে খালেদা জিয়ার পক্ষে মনোনয়নপত্র সংগ্রহ,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.jugantor.com/politics/1044208,bn,1,Rihila,হাসনাতের পক্ষে মনোনয়ন ফরম নিলেন শহীদ পরিবারের সদস্যরা,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.jugantor.com/country-news/1044564,bn,1,Rihila,সরকারের গুরুত্বপূর্ণ চার পদ ছাড়লেন পুতুল,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.jugantor.com/national/1044595,bn,1,Rihila,নির্বাচনি ইশতেহারে বৈদেশিক নীতি স্পষ্ট করতে হবে: দিলারা চৌধুরী,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.jugantor.com/entertainment-others/1044847,bn,1,Rihila,কোন দল থেকে নির্বাচনে অংশ নিচ্ছেন মেঘনা আলম,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.prothomalo.com/bangladesh/42voh8be9l,bn,1,Rihila,নির্বাচনে বাধা দিতেই বিএনপির অবরোধের মাত্রা বাড়ছে: পররাষ্ট্র মন্ত্রণালয়,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.dhakapost.com/law-courts/213606,bn,1,Rihila,মামলা না করে ফিরে গেলেন হিরো আলম,Source: BM25
জাতীয় নির্বাচন ২০২৪,https://www.prothomalo.com/bangladesh/district/o05uwni1ha,bn,1,Rihila,বগুড়ায় খালেদা জিয়া ও তারেক রহমানের পক্ষে মনোনয়নপত্র সংগ্রহ,Source: BM25
